"Description: ","Maximum annual number of consecutive wet days (when precipitation >= 1.0 mm)"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, cwd, normalised (all years)
2008, -99.9, -99.9
2009, 7, 1.38458703603813
2010, 4, -0.814462962375368
2011, 5, -0.0814462962375365
2012, -99.9, -99.9
2013, 5, -0.0814462962375365
2014, 6, 0.651570369900295
2015, 5, -0.0814462962375365
2016, -99.9, -99.9
2017, -99.9, -99.9
2018, -99.9, -99.9
2019, 7, 1.38458703603813
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 3, -1.5474796285132
2023, 4, -0.814462962375368
2024, -99.9, -99.9
