"Description: ","Annual number of days when TM >= 10 degrees_C"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, tmge10, normalised (all years)
2008, 344, -0.677003200386328
2009, 339, -1.31169370074851
2010, 347, -0.296188900169017
2011, 343, -0.803941300458764
2012, -99.9, -99.9
2013, 346, -0.423127000241454
2014, 354, 0.592377800338041
2015, 359, 1.22706830070023
2016, -99.9, -99.9
2017, 359, 1.22706830070023
2018, 336, -1.69250800096582
2019, 355, 0.719315900410478
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 353, 0.465439700265604
2023, 357, 0.973192100555352
2024, -99.9, -99.9
