"Description: ","Annual coldest daily TX"
"Station: ","Uruguaiana"
"Latitude: ","-29.83999999"
"Longitude: ","-57.08194443"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-08-16"
time, txn, normalised (all years)
2008, 10.4, -0.135683609330693
2009, 9.8, -0.542734437322772
2010, 7.4, -2.17093774929109
2011, 10, -0.40705082799208
2012, -99.9, -99.9
2013, 8.9, -1.15331067931089
2014, 11.7, 0.746259851318813
2015, 12.2, 1.08546887464555
2016, -99.9, -99.9
2017, 10.5, -0.0678418046653464
2018, 10.5, -0.0678418046653464
2019, 11.3, 0.474892632657427
2020, -99.9, -99.9
2021, -99.9, -99.9
2022, 12.2, 1.08546887464555
2023, 12.3, 1.15331067931089
2024, -99.9, -99.9
